donorname	wbcode	iso3c	donorcode	region	prodconsubs	pse_percaggdp	gsse_percaggdp	marineusd	aquacultureusd	marketingprocessingusd	biofuelssupportperc	avgappliedMFN_ag	shareagpeaktariffs	avg_biofuel_MFN	countryshare_totalagmeasures	volume	fns_gni	nut_gni	agrd_gni	share_needs	share_good_fnspol	share_lowresources	untied_humanitarian	lmedian_size	averagerank	share_focus_country	shareofODAtoGPGs_disbursements	ODAvolweightedavg	gendershare	mitshare	adaptshare	share_agrdODA
Luxembourg	LUX	LUX	22	Europe & Central Asia (all income levels)	2.1328024864	2.3713130951	0.2946899831				0	13.220000267	0.1114117578	3.1680643559		0.000685068	0.0005779266	0.000058953	4.81883071188349E-005	0.5515345335	0.4772221744	0.510677278	0.9993279576	0.102941528	0.1871165335	0.903793335	0	0.5553367734	0.2178062648	0.0949408785	0.1340455711	0.0719193667
Netherlands	NLD	NLD	7	Europe & Central Asia (all income levels)	0.2488088757	0.2756157517	0.0349158198	0.0005289712	0.0001769976	0.0001518465	9.48758752201684E-005	13.220000267	0.1114117578	3.1680643559	0.0001275836	0.000242281	0.0001761054	7.19756098988E-006	5.8978079323424E-005	0.5643905401	0.4427887201	0.6281465888	1	0.7616891265	0.6530916095	0.9159188271	0.2823701501	0.760810554	0.0990900844	0.0216785744	0.0681345984	0.2091009617
New Zealand	NZL	NZL	820	East Asia & Pacific (all income levels)	0.0301805604	0.012148683	0.0333158746	0.0046495227	0.000186852			1.38	0		0.0162031129	0.0001426052	0.000110627	4.00519820686895E-006	2.95750614895951E-005	0.4920657277	0.4879958034	0.6177153587	0.9848552942	0.3544908166	0.2950674891	0.9327354431	0	0.6812574267	0.2131526768	0.0190352648	0.0216750149	0.2454115599
Norway	NOR	NOR	8	Europe & Central Asia (all income levels)	0.8852209449	0.7566086054	0.0636118501	0.0550721101	0.0066397041	0.0041108653		51.3	0.0535619371		0.0001275836	0.0003819945	0.0002929386	5.47511262993794E-006	8.3580773207359E-005	0.603992939	0.4527332485	0.5354576707	0.999974072	0.1450917721	0.4955916405	0.8595395088	0	0.612483263	0.1999487579	0.077236928	0.1328562349	0.2397048622
Poland	POL	POL	76	Europe & Central Asia (all income levels)	0.2652512193	0.2903001308	0.036073897	0.0014977842	0.0025799102	0.0029671737	0.0005513048	13.220000267	0.1114117578	3.1680643559	0.030930683	5.05557466112805E-007	2.52778727372061E-006			0.3827797472	0.5769150853	0.468190223	1		0.0188483726	0.98773247			0	0.0769230798	0.0769230798	
Portugal	PRT	PRT	9	Europe & Central Asia (all income levels)	0.3776210248	0.4051775634	0.0505553037	0.0077409004	0.0021084899	0.0031853614		13.220000267	0.1114117578			1.57045742525952E-005	1.15992543214816E-005	8.29948248792789E-007	3.93933123632451E-006	0.6102802753	0.4560786486	0.3875112236	1	0.0573235862	0.086777091	0.9917034507	0	0.6323173642	0.1125098839	0.0467347056	0.0165206604	0.2107042521
Slovak Republic	SVK	SVK	69	Europe & Central Asia (all income levels)	0.22522147	0.2504795492	0.0310472902				0	13.220000267	0.1114117578	3.1680643559	0.0011046672	4.68857570012915E-006	2.24513751163613E-005		9.9150452115282E-007	0.6751398444	0.3710711002	0.5298674107	0.130120635	0.0845569447	0.0166480038	0.9997416139			0.1000000015	0.1000000015	0.0333333351	0.0422944874
Slovenia	SVN	SVN	61	Europe & Central Asia (all income levels)	0.4029350281	0.4472134709	0.055248674				0.0012066414	13.220000267	0.1114117578	3.1680643559	0.0017861699	0.00000423	3.5382574878895E-006	3.76910179511469E-007	1.56083854108147E-006	0.4752010703	0.5013126135	0.5318611264		0.0126049072	0.0345056988	0.9931929708		0.4797202051	0	0	0	0.2541510463
Spain	ESP	ESP	50	Europe & Central Asia (all income levels)	0.324829638	0.3543677926	0.0439955518	0.003763478	0.0003661948	0.0020092817	0	13.220000267	0.1114117578	3.1680643559	0.0005523336	0.0002412218	0.0002186771	6.32383807896986E-006	1.62208561960142E-005	0.5601715446	0.4461722672	0.5552978516	0.93791008	0.0613122396	0.8277044296	0.8230115175	0.2283432782	1.209331274	0.2714905739	0.0499282442	0.0751612112	0.0916998833
Sweden	SWE	SWE	10	Europe & Central Asia (all income levels)	0.3911014497	0.4171004295	0.0524294265	0.0147760995	0.0002410489	0.0004603844		13.220000267	0.1114117578		0.0002551671	0.0002426274	0.0001914297	3.20819185617438E-006	4.79895570606459E-005	0.5083369017	0.5046741962	0.5321510434	0.9957193732	0.1496197432	0.2042076439	0.8944472671	0	0.6971472502	0.5080180168	0.0577678345	0.1306545585	0.2771402001
Switzerland	CHE	CHE	11	Europe & Central Asia (all income levels)	1.8386204243	1.6867141724	0.1519063115					35.67	0		0.0003827507	0.0001661721	0.0001533356		1.283651090489E-005	0.5447885394	0.4549086988	0.6549466252	0.9801815152	0.6067176461	0.3981229663	0.8511155248	0	0.5162037611	0.0999524295	0.0398859791	0.1818267852	0.1039994881
United Kingdom	GBR	GBR	12	Europe & Central Asia (all income levels)	0.6716612577	0.7433776855	0.0929295197	0.0010001184	0.0003116033	0.0007035693	0.0007502033	13.220000267	0.1114117578	3.1680643559	0.0009665838	0.0002006522	0.0001543323	2.12743434531149E-005	2.50455104833236E-005	0.4796460271	0.4831920564	0.6060459018	1	0.1423946768	0.9627487659	0.9119383097	0.1041901037	0.6919062734	0.2312849909	0.0302613229	0.0936025232	0.1151917651
United States	USA	USA	302	North America	0.2482368946	0.182709232	0.0549608804	0.0094548129	9.23142433748581E-005	0.0001478339	0.0012098557	5.26	0.0585018098	1.4478390217	0.0796121433	0.0001269825	0.0001166386	4.74076159662218E-006	5.6031331041595E-006	0.4726245999	0.4827196896	0.4921789467	0.6029126048	0.0352462046	2.7308111191	0.8098120093	0.1269736588	0.6721487045	0.040478643	9.52211412368342E-005	0	0.0439581349
